1,"[1, 1]"
2,"[1, 2, 2, 2, 1]"
3,"[1, 3, 6, 12, 18, 6, 2]"
4,"[1, 4, 12, 36, 90, 124, 96, 18, 3]"
5,"[1, 5, 20, 80, 280, 680, 1214, 1127, 389, 40, 4]"
6,"[1, 6, 30, 150, 675, 2340, 6604, 12795, 15519, 6957, 959, 43, 1]"
7,"[1, 7, 42, 252, 1386, 6230, 24024, 71568, 159326, 222995, 136301, 21951, 1021, 15, 1]"
8,"[1, 8, 56, 392, 2548, 14056, 68656, 276136, 901970, 2195663, 3531887, 2743477, 562095, 24627, 347, 1]"
9,"[1, 9, 72, 576, 4320, 28224, 166740, 843822, 3636954, 12675375, 33773653, 60758618, 57953163, 15244962, 701298, 6721, 51, 1]"
