3,"[1, 2, 2, 1]"
4,"[1, 3, 6, 9, 5]"
5,"[1, 4, 12, 30, 44, 26, 3]"
6,"[1, 5, 20, 70, 170, 250, 169, 35]"
7,"[1, 6, 30, 135, 460, 1110, 1689, 1254, 340, 15]"
8,"[1, 7, 42, 231, 1015, 3430, 8379, 13083, 10408, 3409, 315]"
9,"[1, 8, 56, 364, 1960, 8540, 28994, 71512, 114064, 96116, 36260, 4900, 105]"
10,"[1, 9, 72, 540, 3444, 18396, 80262, 273546, 680448, 1106460, 978696, 411984, 71477, 3465]"
11,"[1, 10, 90, 765, 5640, 35700, 190638, 832860, 2849160, 7145310, 11821860, 10899180, 5012261, 1043630, 78750, 945]"
