"2,1,10,3","[1, 3, 6, 12, 22, 39, 67, 112, 188, 314, 517, 838, 1329, 2045, 3068, 4545, 6708, 9838, 14207, 20110, 27999, 38546, 52466, 70349, 92556, 119062, 149223, 182190, 217730, 254890, 290234, 318231, 334637, 336252, 317313, 273013, 206542, 133786, 75747, 39938, 19829, 8816, 3454, 1259, 475, 178, 67, 27, 12, 6, 3, 1]"
"2,1,10,4","[1, 3, 6, 12, 22, 39, 67, 112, 184, 294, 464, 733, 1138, 1704, 2452, 3334, 4258, 4842, 4519, 3051, 1265, 273, 23, 3, 1]"
"2,1,10,5","[1, 3, 6, 12, 22, 37, 46, 28, 5]"
"2,1,11,1","[1, 3, 6, 12, 24, 48, 89, 166, 309, 560, 1001, 1776, 3097, 5314, 8937, 14618, 23293, 36288, 55172, 81871, 118838, 169112, 235115, 319961, 427229, 559464, 716979, 903686, 1116773, 1352909, 1609076, 1880395, 2148532, 2408704, 2650204, 2844421, 2980448, 3049721, 3017424, 2878200, 2626374, 2235627, 1702643, 1044515, 475424, 155851, 42082, 10262, 2835, 937, 328, 100, 32, 10, 3, 1]"
"2,1,11,2","[1, 3, 6, 12, 22, 40, 72, 130, 230, 397, 682, 1154, 1937, 3191, 5111, 8001, 12251, 18465, 27423, 39892, 57045, 80628, 112557, 154908, 210147, 281345, 371408, 483838, 621765, 785674, 976164, 1194403, 1436429, 1696458, 1970193, 2248594, 2519496, 2767436, 2969625, 3104916, 3151450, 3079981, 2867329, 2488212, 1936233, 1270751, 645163, 238422, 61536, 12173, 2461, 679, 244, 85, 22, 6, 3, 1]"
"2,1,11,3","[1, 3, 6, 12, 22, 40, 69, 117, 200, 340, 569, 945, 1546, 2472, 3851, 5866, 8767, 12985, 19172, 28062, 40379, 57215, 80280, 111736, 154288, 210919, 284697, 378893, 496405, 639448, 810437, 1012363, 1246697, 1511100, 1797997, 2101015, 2409595, 2708575, 2972426, 3172407, 3276488, 3252060, 3063097, 2680655, 2110960, 1453697, 871460, 467175, 235761, 117422, 57204, 27172, 12461, 5294, 2184, 1004, 448, 199, 85, 33, 14, 6, 3, 1]"
"2,1,11,4","[1, 3, 6, 12, 22, 40, 69, 117, 196, 320, 520, 842, 1354, 2139, 3286, 4933, 7310, 10781, 15867, 23180, 33416, 47461, 66519, 92372, 127568, 175124, 238080, 319959, 425365, 559227, 726454, 931740, 1177770, 1465544, 1793585, 2153821, 2529419, 2893000, 3208036, 3423860, 3508459, 3421308, 3131851, 2631465, 1978755, 1309347, 763280, 393177, 184843, 81767, 33388, 12566, 4495, 1720, 701, 234, 73, 29, 14, 6, 3, 1]"
"2,1,11,5","[1, 3, 6, 12, 22, 40, 69, 117, 196, 320, 515, 813, 1263, 1949, 2977, 4451, 6522, 9486, 13802, 20007, 28733, 40838, 57261, 78870, 107061, 144266, 193601, 259069, 346004, 460027, 605751, 787463, 1011603, 1287822, 1625786, 2029039, 2486582, 2974318, 3447404, 3835812, 4035702, 3941321, 3488449, 2724519, 1829973, 1058798, 541720, 254325, 107982, 40699, 14139, 5375, 2345, 1037, 390, 110, 25, 6, 3, 1]"
"2,1,12,1","[1, 3, 6, 12, 24, 48, 90, 168, 314, 572, 1033, 1850, 3263, 5701, 9863, 16759, 27866, 45291, 72099, 112521, 171929, 257112, 377904, 545894, 773038, 1075171, 1473589, 1986076, 2630262, 3432644, 4416186, 5590709, 6971232, 8572605, 10385539, 12397678, 14595522, 16933499, 19356689, 21817886, 24222746, 26460935, 28458315, 30093680, 31217047, 31732310, 31542112, 30496145, 28508698, 25523039, 21432297, 16273946, 10527747, 5424324, 2143159, 658412, 170062, 42140, 10995, 3283, 1066, 361, 100, 23, 6, 3, 1]"
"2,1,12,2","[1, 3, 6, 12, 22, 40, 73, 132, 235, 409, 704, 1198, 2019, 3359, 5490, 8754, 13455, 20040, 29013, 40559, 54910, 71309, 88725, 105254, 117594, 122887, 117879, 100035, 70970, 39564, 16233, 4532, 988, 297, 80, 16, 3]"
"2,1,12,3","[1, 3, 6, 12, 22, 40, 70, 119, 205, 350, 583, 949, 1510, 2311, 3426, 4720, 5903, 6586, 6257, 4778, 2641, 864, 112, 4]"
"2,1,12,4","[1, 3, 6, 12, 22, 40, 70, 119, 199, 320, 488, 678, 844, 908, 813, 502, 149, 10]"
"2,1,12,5","[1, 3, 6, 12, 22, 40, 70, 119, 201, 332, 541, 869, 1379, 2184, 3444, 5338, 8073, 11968, 17546, 25620, 37389, 54463, 78766, 112421, 157847, 218413, 299481, 408443, 553914, 746444, 1000256, 1333612, 1768417, 2330500, 3049951, 3961613, 5108108, 6543496, 8327072, 10504397, 13093568, 16091345, 19485592, 23246974, 27294044, 31443674, 35382422, 38631941, 40598844, 40677650, 38410724, 33718019, 27123253, 19732023, 12841214, 7457800, 3899160, 1857003, 814782, 332784, 127508, 45517, 15256, 5193, 1798, 554, 144, 33, 6, 3, 1]"
"2,1,12,6","[1, 3, 6, 12, 22, 40, 68, 96, 92, 41, 3]"
"2,1,13,1","[1, 3, 6, 12, 24, 48, 91, 170, 319, 584, 1063, 1920, 3421, 6052, 10634, 18473, 31652, 53352, 88140, 142883, 227466, 355271, 544412, 820735, 1216936, 1773910, 2544596, 3598674, 5013032, 6880807, 9320848, 12458079, 16429644, 21396997, 27535909, 34994952, 43951613, 54575165, 66975698, 81275047, 97554526, 115780301, 135902073, 157819493, 181229759, 205792009, 231141361, 256581125, 281453793, 305079428, 326430281, 344503519, 358540900, 367339920, 369741101, 365143802, 352536210, 330855376, 299705540, 258322962, 205546603, 144249635, 84147086, 39002166, 14317977, 4377538, 1218565, 328146, 90104, 26947, 9121, 3190, 1094, 363, 107, 28, 8, 3, 1]"
"2,1,13,2","[1, 3, 6, 12, 22, 40, 74, 134, 240, 421, 730, 1266, 2173, 3700, 6235, 10395, 17066, 27435, 43210, 66841, 101927, 153313, 227103, 331927, 480041, 687370, 973409, 1363835, 1892662, 2602661, 3547099, 4789101, 6405188, 8489779, 11156231, 14533053, 18754480, 23958597, 30304552, 37980778, 47167690, 58025966, 70716104, 85383149, 102116959, 120956373, 141908283, 164907428, 189709842, 215886929, 242919508, 270199807, 296975805, 322328991, 345119584, 364018096, 377739711, 385092514, 384801443, 375470221, 355696676, 323955463, 279173963, 221713589, 156066489, 92855837, 44427067, 16520829, 4791012, 1143528, 244323, 53209, 13909, 4662, 1746, 640, 217, 76, 30, 12, 6, 3, 1]"
"2,1,13,3","[1, 3, 6, 12, 22, 40, 71, 121, 210, 364, 621, 1049, 1762, 2928, 4817, 7848, 12553, 19622, 30058, 45380, 67899, 100730, 147792, 214222, 307279, 437826, 620357, 872504, 1216894, 1684195, 2315857, 3163482, 4287274, 5758596, 7661077, 10094145, 13179609, 17060694, 21895790, 27855846, 35135571, 43952016, 54538109, 67115475, 81877523, 98965494, 118474162, 140458743, 164889502, 191539031, 219968432, 249529785, 279423663, 308717795, 336343816, 360949515, 380867599, 394310610, 399501048, 394694487, 378039911, 347686777, 302978792, 245959041, 183359347, 125334721, 80100780, 49450637, 30201815, 18322790, 10941718, 6378296, 3617024, 1996753, 1081169, 582241, 315314, 171967, 91407, 45728, 22078, 10648, 5203, 2545, 1212, 555, 246, 98, 33, 12, 6, 3, 1]"
"2,1,13,4","[1, 3, 6, 12, 22, 40, 71, 121, 206, 344, 572, 954, 1574, 2578, 4197, 6749, 10635, 16390, 24760, 36970, 54980, 81494, 119892, 174219, 249764, 354342, 499383, 700865, 979980, 1362835, 1880218, 2569012, 3475394, 4660381, 6208151, 8225431, 10828539, 14138596, 18296413, 23486970, 29952677, 37984475, 47897868, 59998973, 74550360, 91755339, 111745066, 134564029, 160149616, 188367639, 218910399, 251287740, 284670301, 317739035, 348884372, 376440273, 398743635, 413998149, 420085770, 414236962, 393386088, 355531766, 301781832, 237759748, 172705947, 116007949, 72870469, 43363193, 24742132, 13674143, 7352284, 3836528, 1925457, 923936, 425844, 187653, 77819, 30642, 12410, 5319, 2302, 969, 384, 143, 54, 25, 12, 6, 3, 1]"
