2,"[1, 1]"
3,"[1, 3, 2]"
4,"[1, 4, 10, 8, 1]"
5,"[1, 5, 15, 35, 42, 20, 2]"
6,"[1, 6, 21, 56, 126, 197, 195, 100, 17, 1]"
7,"[1, 7, 28, 84, 210, 462, 828, 1148, 1169, 777, 282, 42, 2]"
8,"[1, 8, 36, 120, 330, 792, 1716, 3278, 5362, 7336, 8148, 6972, 4258, 1624, 308, 30, 1]"
9,"[1, 9, 45, 165, 495, 1287, 3003, 6435, 12638, 22452, 35592, 49740, 60360, 62064, 52250, 34272, 16212, 4944, 842, 72, 2]"
10,"[1, 10, 55, 220, 715, 2002, 5005, 11440, 24310, 48287, 89367, 153060, 240969, 346500, 451365, 526326, 540842, 479874, 357498, 214764, 98076, 31166, 6150, 750, 47, 1]"
11,"[1, 11, 66, 286, 1001, 3003, 8008, 19448, 43758, 92378, 184296, 348084, 621214, 1044098, 1646964, 2429284, 3335453, 4237673, 4944656, 5249838, 5012337, 4236771, 3103716, 1914242, 955286, 365244, 99660, 17930, 1982, 110, 2]"
12,"[1, 12, 78, 364, 1365, 4368, 12376, 31824, 75582, 167960, 352716, 704816, 1345245, 2454980, 4280474, 7119684, 11275682, 16967390, 24198306, 32607146, 41357978, 49151872, 54430794, 55780626, 52440520, 44725516, 34116522, 22851182, 13117467, 6246108, 2360644, 668514, 133487, 18370, 1562, 68, 1]"
13,"[1, 13, 91, 455, 1820, 6188, 18564, 50388, 125970, 293930, 646646, 1352078, 2703352, 5190562, 9593896, 17086602, 29320473, 48446229, 77001405, 117589745, 172292328, 241807150, 324427820, 415130716, 505183107, 582714561, 634535759, 649118041, 620101482, 549149614, 446756884, 330117788, 218374585, 126938097, 63301667, 26257959, 8713564, 2208492, 406978, 51636, 4006, 156, 2]"
